username,created_at,lng,lat,text,,,,
Mustajab_zaidi, Tue Jan 26 21:04:48 +0000 2021,67.071986,24.879285, I'm glad to have a picture with you sir 😂 @ALIHAIDERFCMA  celebrity ❤ https://t.co/AknmklzrUb ,,,,
KulamaniMishra7, Tue Jan 26 21:04:53 +0000 2021,84.776941,22.245946, Sukhpreet ji my regards for your thoughts. ,,,,
zephyrzealot, Tue Jan 26 21:04:59 +0000 2021,67.042194,24.905076, Consensus is that im more masi and maili than i was 8 years ago. I h8 u awl :-) https://t.co/JGEu5kjqmI ,,,,
GovandiCell, Tue Jan 26 21:05:04 +0000 2021,72.874244,19.17414, @mybmc @MumbaiPolice @AndFootpath @gallinews @mybmcRoads @mybmcWardME @QuintMyReport @mybmcBridges @mayor_mumbai… https://t.co/JUcKFzIJXO ,,,,
tahsinfatima9, Tue Jan 26 21:05:06 +0000 2021,68.889159,26.116357, انکی ہمت کو سلام ,,,,
AdityaS96869575, Tue Jan 26 21:05:15 +0000 2021,80.346063,26.405874, कभी नहीं.. जिन्होंने ऐसा किया वह सब गुंडे आतंकी थे ,,,,
shailesh143love, Tue Jan 26 21:05:21 +0000 2021,71.291372,22.414713, Tuta hua phool khusbu de jata hai,Bita hua pal yaaden de jata hai,Har shakhs ka apna andaz hota hai,Koi zindgi m… https://t.co/6qaFH9RQek ,
BhagwanBishnoi7, Tue Jan 26 21:05:38 +0000 2021,73.87756,26.628415, Hii ,,,,
exuberant_guy, Tue Jan 26 21:05:51 +0000 2021,82.57378,18.862738, @barcacentre That's good news ! ,,,,
shailesh143love, Tue Jan 26 21:05:56 +0000 2021,71.291372,22.414713, वो पत्थर कहाँ मिलेंगे दोस्तों   जिसे लोग दिल पर रख कर एक दूसरे को भूल जाते हैं।Shailesh parmar ,,,,
exuberant_guy, Tue Jan 26 21:06:06 +0000 2021,82.57378,18.862738, @goal New Coach. New Future. ,,,,
SHRIYUTSHANDIL1, Tue Jan 26 21:06:09 +0000 2021,82.932955,25.373376, https://t.co/u9K9L4Y0Cpकितना बढ़ा वाला सूअर है बे ,,,,
tejarane, Tue Jan 26 21:06:11 +0000 2021,72.874244,19.17414, Superb fightback from the team after a disastrous start. #afc #SOUARS ,,,,
GovandiCell, Tue Jan 26 21:06:15 +0000 2021,72.874244,19.17414, Please take action on immediate ground..@mybmcWardME ,,,,
vishalshetty89, Tue Jan 26 21:06:22 +0000 2021,72.874244,19.17414, Lesson learned from Dot Com Bubble • Make Incremental Advances• Stay lean &amp; flexible• Improve on the competition… https://t.co/2ZylV6kEaD ,,,,
exuberant_guy, Tue Jan 26 21:06:22 +0000 2021,82.57378,18.862738, @FCBarcelona_cat Beast mode loading 🔥 ,,,,
KIMKTNAM, Tue Jan 26 21:06:30 +0000 2021,68.889159,26.116357, @AandhiMainPyaar i’m gonna cry 😿 https://t.co/960otgXUdw ,,,,
zephyrzealot, Tue Jan 26 21:06:32 +0000 2021,67.042194,24.905076, @DigitalZarda I blew it off after the first episode. I mean... No techna, no flora (yet?), musa is an empath and th… https://t.co/52rwpwV96R ,,
sabirtanoli276, Tue Jan 26 21:06:34 +0000 2021,67.042194,24.905076, @KhurramBhatti01 سچائی چھپ نہی سکتی بناوٹ کے اصولوں سے خوشبو آ نہی سکتی کبھی کاغذ کے پھولوں سے ,,,,
ahsaan_wajid, Tue Jan 26 21:06:37 +0000 2021,67.042194,24.905076," So my dad casually making ""gajar ka halwa"" for the first time and making it the best one i ever had", just a casual… https://t.co/yrshRYqjr7 ,,,
shailesh143love, Tue Jan 26 21:06:40 +0000 2021,71.291372,22.414713, वो बेवफा हमारा इम्तेहा क्या लेगी…मिलेगी नज़रो से नज़रे तो अपनी नज़रे ज़ुका लेगी…उसे मेरी कबर पर दीया मत जलाने दे… https://t.co/A5g4W2RbGM ,,,,
mpudasainee, Tue Jan 26 21:06:50 +0000 2021,84.13302,28.39085, @_FPLtips Damn!!Your team 🔥🔥🔥 ,,,,
finepatriot1, Tue Jan 26 21:06:50 +0000 2021,85.853412,20.249108, These are crooked country breakers funded by our countries enemies. Should be deprived of Indian citizenship. ,,,,
true_yasir, Tue Jan 26 21:06:51 +0000 2021,67.042194,24.905076, @vijayat003 Neither You Do Your Research Or Homework Nor You Prepared Your Questions Properly &amp; You Accused… https://t.co/EyknIpOgAe ,,,,
sarphireee, Tue Jan 26 21:06:57 +0000 2021,68.889159,26.116357, @Haider110_ AmeenJazakAllah ,,,,
AsadRashid08, Tue Jan 26 21:06:57 +0000 2021,68.889159,26.116357, @charles_watts Great half by xhaka ,,,,
AnuragVerma_SP, Tue Jan 26 21:06:59 +0000 2021,80.346063,26.405874, झंडा फहराने वाला दीप सिद्धु बीजेपी का कार्यकर्ता निकला! https://t.co/lGYoGnf4fs ,,,,
Singh93Kv, Tue Jan 26 21:07:00 +0000 2021,80.867555,27.139758, संविधान की कीमत कुछ यूँ चुका रहा हुँ,जमीन पर पड़ा हुँ और लाठियाँ खा रहा हुँ...#KisanoKaGUNtantra… https://t.co/sbfrRuk5Ft ,,,
SumitCh31084985, Tue Jan 26 21:07:02 +0000 2021,87.857625,24.382461, #Happyrebublicday https://t.co/5jVsIRj8P2 ,,,,
harjit_boparai, Tue Jan 26 21:07:03 +0000 2021,78.420229,23.970895, @KanganaTeam @diljitdosanjh @priyankachopra https://t.co/WZDSB1bcIL ,,,,
KulamaniMishra7, Tue Jan 26 21:07:04 +0000 2021,84.776941,22.245946, Yes । All background leaders ad front leaders must be booked।@AmitShah @AmitShahOffice @rajnathsingh… https://t.co/cyie1Dn2fE ,,,,
badassthakurji, Tue Jan 26 21:07:09 +0000 2021,82.584181,19.938705, #TirangaAboveEverything ... #KisanAndolan https://t.co/TzbZ1QJLK9 ,,,,
mazherr, Tue Jan 26 21:07:17 +0000 2021,72.874244,19.17414, @14Djc Take the chance ,,,,
shailesh143love, Tue Jan 26 21:07:18 +0000 2021,71.291372,22.414713, ❌टूटे हुए सपनो 👭😝और छुटे हुए अपनों 👬ने मार दिया ,वरना ख़ुशी💑 खुद हमसे मुस्कुराना😍 सिखने 🔱आया करती थी.. 💜 😒जख्मी 💔दि… https://t.co/k6Dq0wmMNF ,,,
BhagwanBishnoi7, Tue Jan 26 21:07:18 +0000 2021,73.87756,26.628415, गणतंत्रता दिवस की आप सबको हार्दिक बधाई। मैं हमेशा अपने आप को तिरंगे के साथ देखना चाह ता हूं। 🇮🇳🇮🇳🇮🇳… https://t.co/YgFmi2vavs ,,,,
IbrahimSamyr, Tue Jan 26 21:07:25 +0000 2021,73.226307,3.201397, 🚨އައިޖީއެމްއެޗްގައި އޮތް ބަލިމީހަކަަށް ބީ+ ލޭ ބޭނުންވެއެވެ. ލޭ ހަދިޔާކުރައްވަން އެދޭ ނަމަ 7544759މެސެޖުކުރެއްވުމަ… https://t.co/gTediQ1pji ,,,,
Sidnaaz_suklafc, Tue Jan 26 21:07:25 +0000 2021,84.440852,20.188653, @NitaLoveSidNaaz @OfficialSidNaaz @ishehnaaz_gill @sidharth_shukla OMG what is this😱😱 ,,,,
BhayaLal, Tue Jan 26 21:07:29 +0000 2021,73.192355,19.270371, आज गणतंत्र दिवस पर Punjab के लोगो ने साबित कर दिया कि देश की अस्मिता से खुलेआम कैसे बलात्कर करते हैं..! सुना करते… https://t.co/2Oc3fnze8n ,,,,
shreyansh_bwr, Tue Jan 26 21:07:44 +0000 2021,74.308757,25.947998, @sanjeevsanyal Sanjeev ji try the Masks by MASK ON These are the most comfortable anti fog mask, you will love it,… https://t.co/XBnPOPWrC8 ,,
diksha_priyanka, Tue Jan 26 21:07:45 +0000 2021,86.520786,25.22269, वामपंथी जहरीले नाग योगेन्द्र यादव कहां है तू । तूने क्या कहा था कि कुछ भी ऊंच नीच हुयी,नियम तोडे तो हमारी जिम्मेदा… https://t.co/kBEp8Wf68e ,,,
Chakradhar2311, Tue Jan 26 21:07:52 +0000 2021,85.853412,20.249108, @AsYouNotWish @JibananandaRout ଏମିତି ଦିନେ ନାଜୀ ବାହିନୀ ଜର୍ମାନୀ ସଂସଦ ଦଖଲ କରିଥିଲେ, ଆଜି‌ ହାରୁ 'ନିଆଜୀ' ବାହିନୀ ଏମିତି କରି… https://t.co/gah6uCGWRy ,,,
shailesh143love, Tue Jan 26 21:07:53 +0000 2021,71.291372,22.414713, Zindagi Main Kabhi Pyaar Karne Ka Man Ho ToApne Dukh Se Pyaar Karna Kyunki….Duniya Ka Dastoor Hai…Jise Jitna Cha… https://t.co/vxmMNX5Yye ,,,,
premdevgn, Tue Jan 26 21:07:56 +0000 2021,72.874244,19.17414, Congrats wishing the radiant and Beautiful talented, my heart queen superstar bollywood actress @deepikapadukone j… https://t.co/ToTTIjOOHP ,,,
Seabyside, Tue Jan 26 21:07:59 +0000 2021,77.556422,13.075209, आदरणीय मोदी जी। आज रात बेचैनी महसूस हो रही है। दिल सिहर रहा है कल की राजधानी में हुए दंगे की वजह है।। पूरा देश आपके… https://t.co/6ipG3yr46P ,,,,
sufimusafir, Tue Jan 26 21:08:02 +0000 2021,74.628472,26.457994, Congratulations @ABlinken sb on becoming the 71st US Secretary of State @StateDept Greetings of Peace from… https://t.co/tDOw14t1NF ,,,,
